Gene	granule	purkinje	basket	astrocyte	oligo	opc
Gemin8	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Tubd1	1230.9	9163.400000000001	7774.3	4986.4	2183.9	8863.3
Jdp2	4963.200000000001	969.5	3430.6	7180.7	10729.9	6518.5
Zmym3	6537.4	1162.7	3070	4710.5	8452.2	10375.1
Cgnl1	4900.2	3440.3	4969.5	5264.9	4931.5	2066.6
Haus7	1529.7	5932.9	8547.400000000001	6232.200000000001	8897	2484.3999999999996
Adamts8	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Acot7	3191.4	6403.5	4475.9	5233.2	8790.7	6993.700000000001
Zbtb44	2798.8	6994	4798.5	8608.6	3891.3999999999996	6436.299999999999
Gpm6b	8677.1	11217.7	7232.1	1031.5	2257.8	3923.8999999999996
Lrrc45	3160.3	6226.799999999999	6967.8	3603.3	8626.599999999999	5233.799999999999
Fbxl2	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Cpsf4	422.5	5788.4	9645.3	4239.2	6440.700000000001	8369.4
Ikzf3	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Rac3	4825.9	3351.1000000000004	4888.9	5184.3	4847.2	2478.1
Ubp1	8124.1	5404.5	3672.6000000000004	5500.8	9284.7	2307
Zzef1	4149.6	1493.7	5120.2	8179.2	6380.9	8991.4
Fam129a	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Dcxr	6367.6	5129.799999999999	6487.5	690.7	4070.4	6326.4
Susd5	5266.8	3966.4	5318.8	5583.4	5289.2	140.7
Zpbp2	4668.5	3197.4	4731.1	4990.8	3618.8999999999996	4571.700000000001
Pbrm1	4802.4	9099.8	6998.6	5478.9	2014.1999999999998	5294
Terf2	2341.8999999999996	7362.6	7960.6	5790.3	8188.4	2948.5
Batf	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Exosc10	3342.1	10333.4	5167.5	6398.7	1870.3	7277.4
Rfng	846.2	6409.9	2801.2	5778.1	10582.6	8113.6
Limk1	7287.4	7701	3357.8	1426.4	8632.4	4911.4
Ggt7	938	8509.4	2458.5	5523.2	10765.7	6218.1
Gps1	7028.6	8603.7	5498.6	3337.4	6869.3	2575.2
Glb1	3131.8999999999996	751.2	9833.8	8490.7	7154.6	4689.200000000001
Acss2	1247.3	10500.2	2775.6000000000004	5125.8	6093.5	8528.7
Gpr153	474.6	7274.5	8322.099999999999	5413.5	8190.1	1969.8
Gss	828.0999999999999	6954.3	6123.5	7329	6792.299999999999	4530.4
Trim71	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Mfsd7c	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Hes3	6424.7	53.9	6424.8	6661.5	6433.5	3246.7
Tsen54	1256.8	8416	6352.1	4062.1	8468.400000000001	5131
Cyb5b	6665	6822.1	4322.9	6153.7	4319	5915.6
Dync1li1	2808.2	6777.5	3583.5	7025.3	7989.5	6046.5
Ofd1	9083.2	8121.2	7162.6	3300	1505.5	3750.5
Ormdl3	5518.6	4045.9	5613.9	4801.4	5508.1	3231.4
Cmtm6	7444.1	1099.6	7264.4	5644	3243.1000000000004	8388.599999999999
0610007P14Rik	9020.900000000001	265.4	4309.4	7427.5	4404.3	9446.9
Gsdma	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Rnf207	4467.200000000001	572.7	3117.5	7266.3	9079	8964.2
Arfrp1	1857.7	8625.5	5337.2	7530.4	6547.1	3298.3
Bgn	6593.2	5415.7	6706.4	3532.8	6599.3	43.4
Tcf12	9583	7433.799999999999	8648.8	5717.4	696.7	2941.3
Gpd1l	4694.9	5420.9	2890.4	4900.4	6699.9	6500.4
Whamm	8630.8	8441.2	6285.1	2202	6387.799999999999	2916
Nono	1837	10170.2	6274.1	6229.200000000001	6485.9	2745.7
Lime1	2451.8999999999996	6859.9	7133	1652	5483.7	10611.3
Zgpat	1989.2	8334	4690.2	5317	6819.200000000001	7898.9
Vmp1	6718.8	9719.1	4408.5	6928	226.8	5617
Crtc1	3121	1474.1999999999998	8352.7	6519.3	10133	4829.5
Osbpl10	6301.3	5109.3	294.1	6630	6253	4582.4
Rab9	9129.2	9333.3	4962.9	5887.6	3098.5	1361.6
Hyou1	7192.6	8358.900000000001	4184.1	1972.8000000000002	6686.1	6340.8
Stt3b	10409.8	6350.1	1584.5	4442.7	6826.4	4611
St14	2507.6000000000004	3458.7	5028.5	5252.2	4894	4793.4
Ptrh2	4992.7	5622.5	7108.1	7289.3	3301.3	3713.8
Llgl2	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Homer2	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Atp5j2	5218.9	7444.4	4567.5	6382.799999999999	10146.7	1397.6
Gltp	7535.700000000001	6426	7649.5	6706.5	600.1	2569.4
Myo1c	4167.8	2165.3	4869.8	3434.1	10553.7	8837.6
Tgfbr2	6234.1	4980.9	6304.1	6544.6	263.8	4635.6
Egfl6	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Psmd3	8196.9	8825.2	3715.1000000000004	6646.4	4798.700000000001	2223.3
Neu2	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Itgb1bp2	4862.1	3399	4942.9	5227	2561.6	4797.299999999999
Dus1l	1692.4	9471.7	6317.5	4948	6284.700000000001	6000.5
Kif23	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Klhl26	3071.3999999999996	7586.299999999999	8722.599999999999	877.8	8377.2	5484.1
Ppfia1	588.2	7654.299999999999	4981.3	5015.8	9745.400000000001	6883.6
Fasn	7443.6	10131.5	9019	3710.5	2729.2	1270
Tlr8	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Rbms3	6294.8	850.8	6392.8	3365	6251	6163.1
Tlr7	5169.8	3825.4	5241.6	5529.2	873.0999999999999	5144.700000000001
Syt17	5131.5	3768.6	5189.4	5485.4	5165.1	827.4
Ncapd2	83.5	9570.7	9326.400000000001	4172.1	7619.5	3127.2
Med24	4827.9	8375.3	5503.4	4377.5	8119	2590.9
Edem3	8973.3	3779.8999999999996	3572.3	8584.400000000001	3056	6559
Psat1	8115.6	7184.2	8235	5147.299999999999	93.8	2709.9
Recql5	7150.299999999999	5878	7306.2	3710.6000000000004	1327.4	6096.9
Slc35a3	4341.9	5472.1	4140.700000000001	7103.6	4242.2	6537.1
Slc16a3	4696.799999999999	3206.4	4752.299999999999	5041.1	4708.700000000001	3160.9
Nfat5	3901.3	6548.3	8314	5687	4169.6	5092.1
Smim5	7700.200000000001	6575.9	7845	5130.799999999999	496.4	3684.3
Sap30bp	2385.7	7526	7724.799999999999	5081.8	4372.8	6734.4
Fadd	4924.9	3466.6000000000004	4981	5289.5	4950.4	1956.8
Tyro3	1924	8178	9238.1	7581.2	494.3	5813.9
Csnk1d	6749.1	9395.9	6534.1	6744	3314.7	1546.3
Etv1	144.8	6818.1	7974.2	8179.8	4909.9	3628.3
Prps2	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Zbtb46	2336.4	172.4	7672.4	7809.6	7611.2	6226.700000000001
Paqr5	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Abhd16b	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Tchp	3746.5	7455.6	10315.5	6774.7	700.7	5359.2
Myh7b	5043.4	7663.8	8874.2	835.9000000000001	7191.9	3260.7
Trpc4ap	2346.1	9459.9	6234.4	7692.1	3761.1000000000004	4820.3
Fam103a1	4783.6	3302.3999999999996	4843.6	5140.3	4804.4	2701.5
Cmc1	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Azi2	8232.4	5289.5	2338.5	8966.099999999999	4833	5737.6
Msl3	8119.8	4396	1603.6999999999998	4284.799999999999	6286.9	9767.7
Ano1	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Eomes	5038.8	3612.2	5162.700000000001	1832.3000000000002	5047.5	4980.6
Tpd52l2	3374.8	7829.5	6462.9	5460.8	2959.4	8572.099999999999
Zfp280d	7163.4	5654.5	3273.8	7318.1	2360.8999999999996	8168.9
Nr1d1	8693.3	9924.3	2580.8	835	7329.9	4875
Golga4	6254.7	7350.700000000001	3490.6000000000004	5607.3	9714.2	1970.1
Anp32a	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Slc37a4	4165.200000000001	10349	6648.299999999999	3285.2	2747.6000000000004	7988.2
Itga9	7388.9	6199.7	7518.4	5996.5	3755.2	49.9
Casc3	1446.6999999999998	7958.9	6592.5	4413.7	6006.9	6832.1
Msl1	5004.6	8943.6	5643.9	5411.7	6139.3	2449.5
Uts2r	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Hccs	6072.8	4681.9	2906.7	6432.4	6013.4	3087.6000000000004
Vill	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Edem2	4695	3220.4	4759.5	5021.8	3489.8	4601.5
Plcd1	5975.8	4593	6083.7	4945.5	5987.3	1109.1999999999998
Coro2b	537.2	3941.5	10970.6	3716	5943.5	9335.4
Ogt	5458.6	504.70000000000005	7748.4	7206.799999999999	5210.299999999999	8152
Dnajc5	3155.3999999999996	3489.7	3312.8	8963.3	8957.5	6676.2
Hexdc	5231.799999999999	8762.8	3584	1615.9	8249.8	6894.2
BC017643	5681.1	3054	8335.2	5301.9	5557.9	5212.3
Procr	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Itga11	189.5	6256.2	4364.4	7745.7	7370.1	5816.700000000001
Ogfod3	3378.3999999999996	4177.8	5749.9	4726.9	5572.700000000001	5425.299999999999
Mns1	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Trappc4	5156.1	6841.6	6958.2	5662.1	2466.7	5428.6
Prpf6	1748.1	9180.3	5264.299999999999	5342.200000000001	7502.299999999999	5244.5
Samd10	928.8	7095	4812.7	2865.7	7963.7	7882.6
Ccnd1	6516.799999999999	5305	6635.200000000001	3882.2	6521.1	23.5
Oxsr1	7487.4	4166.5	3571.5	3836.9	6416	9505
Uckl1	6756.9	9942	7167.3	1010.1	3135.7	6522.3
Myd88	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Zfp512b	3487.8	6000.200000000001	5706.8	2554.3	9753.2	6719.6
Narf	1152.7	5429.9	3920.9	6546.9	9646.7	8388.2
Acvr2b	6059.4	4698.7	6144.6	6417.7	3834.5	1683
Mid1	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Exog	4203	4723.6	6178.6	6390.3	6062.3	1112.5
Wdr45b	2902.1	8919.599999999999	4900	7426.8	6737.700000000001	3137.1
Fem1b	1619.4	6719.8	3522.5	8855.1	5196.799999999999	8648.4
Scn5a	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Fn3krp	5303.8	7375.3	2851.1	7738.799999999999	4788.1	5456.4
Scn10a	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Galk1	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Itgb4	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Scn11a	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Tbcd	2057.9	8710.3	6344.7	4458.4	5353.700000000001	7463.9
B3gntl1	5947.5	4529.5	6074.1	3551.8999999999996	5960.6	2584.3999999999996
Metrnl	4720.8	3233.8	4780.4	5071.8	4738.2	3017.5
Ptchd3	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Calml4	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Cln6	6757.4	8931.5	5743.200000000001	2901.3	1312.1999999999998	8565.6
Pias1	2572.3	9535.5	6098.1	4887.9	5090.8	5271.6
Ttc21a	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Rfx7	3807.2	6540.8	2462.6000000000004	7593.9	8497.4	5023.200000000001
Csrnp1	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Cx3cr1	5310.4	4031.9	5373.6	5633.8	138.3	5291.4
Gorasp1	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Wdr48	8069.3	8978.8	3343.9	4988.7	3645.8	6175.3
Skor1	5231.9	3918.1	988.5	5612	5160.9	5082.4
Nedd4	4792.1	9173.7	8648.4	3495.8	6152.8	2018.5
Map2k5	7728.7	8978.5	6001	2894.8999999999996	3546.3	5120.9
Slc25a38	4768.4	7242.6	6624.3	1554.5	4487.2	8878.4
Prtg	7490.9	6298.5	7638.1	5821.700000000001	1441.8000000000002	2720.7
Rpsa	3347.2	7832	9551.8	4673.8	3040.8999999999996	5409.9
Iqch	3787.1	2265.8	3840.4	4152	3800.8	3747.5
2300009A05Rik	5219.1	3891.3	1073.5	5598.4	5147.299999999999	5061.5
Unk	4647.799999999999	10227.7	7999.9	3769.2	1731.6	6145.5
Eif1b	7045	8481.8	6220.200000000001	6999.4	2119.2	1909
Entpd3	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Gm29797	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Sox18	3792.4	3215.9	4756.700000000001	4965.2	4643	4533.6
Tcea2	3359	7272.3	5178.2	2135.8	10099.7	6360
Pigb	6556.9	8541.4	4117.7	4266.3	6924.700000000001	1495.3
Rab27a	320.6	6949.7	6113.700000000001	5257.1	8055.700000000001	5944.1
Unc13d	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Rgs19	7244.5	5967.7	5055.3	2937.6	7033.6	3824
Rsl24d1	2247.3	6150.6	7662.1	7133.4	4094.5	5817.9
Aagab	3519.3	8700.2	1930.8	5333.1	8605.5	6221.799999999999
