Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C2orf72	845.1133206104438	-0.01253299310682804	0.029410593372611087	-0.42613873674849134	0.6700067551881018	0.998579267766214
C2orf73	209.55067531168422	-0.018425576004440232	0.02753009822628763	-0.6692884221839145	0.5033115108548267	0.998579267766214
C2orf74	216.4171561963787	-0.015022967761033094	0.02210222994094536	-0.6797037132077963	0.4966920843986049	0.998579267766214
C2orf76	719.6951503783818	-0.018375579959570714	0.015580766689569705	-1.1793758500903522	0.23824854712700433	0.998579267766214
C2orf78	0.6955230067736351	0.02496731347603497	0.1419742267366331	0.17585806980551594	0.8604054473407096	NA
C2orf80	90.18555775644498	0.023860601324446153	0.034052771384032864	0.7006948437575404	0.4834934746022635	0.998579267766214
C2orf81	20.242129756981587	-0.06582881500167423	0.030989372314250415	-2.124238410966554	0.03365021283086755	0.9818272521410056
C2orf82	5.974477881598105	0.13839327841803106	0.05701775441854361	2.427196227374084	0.015216023434013506	NA
C2orf83	3.948268178089415	-0.08462329504985835	0.07992845702456126	-1.0587380039608973	0.289719114909338	NA
C2orf88	1732.386432740845	-0.010074371923818794	0.019008165092422563	-0.5300023371448332	0.5961103103654091	0.998579267766214
C2orf91	1.7080605555372328	-0.10311929922712088	0.09969964948362171	-1.0342995162090407	0.3009961629673607	NA
C3	205.57658768782235	-0.050187879580957086	0.045742269425373475	-1.0971882289932386	0.27255911768651825	0.998579267766214
C3AR1	16.140591599097682	-0.025976475019730078	0.04843186197891687	-0.5363509466358745	0.5917160264298441	0.998579267766214
C3P1	8.616216977505907	-0.12300724940038232	0.04757394490764029	-2.585601207534664	0.009720932926694126	NA
C3orf14	121.79124568918189	0.006831373329225199	0.02205783113974231	0.30970285727307484	0.75678692975196	0.998579267766214
C3orf17	840.6864792664361	-0.003851125295244348	0.01319162322634749	-0.2919371808279466	0.7703346549461524	0.998579267766214
C3orf18	46.50977782807636	-0.021718714318676592	0.026644438066156944	-0.8151312579664843	0.41499718103634853	0.998579267766214
C3orf20	292.1991435863393	-0.03170982020704513	0.028145537919664492	-1.126637561433508	0.25989575133466347	0.998579267766214
C3orf22	16.42400432344318	-0.07521959951180303	0.05289067724595718	-1.422171229950598	0.1549765485885053	0.998579267766214
C3orf30	4.050755657581079	0.019011708023394396	0.08076874963958026	0.23538445386652138	0.8139103511599697	NA
C3orf33	869.8495732951299	-0.02690052929191457	0.023627879382655436	-1.1385079827206792	0.25490842747648257	0.998579267766214
C3orf35	374.4537946627961	-0.008666077078128116	0.023346039358738264	-0.37120116799959313	0.7104877032259178	0.998579267766214
C3orf36	1.195985226754896	0.1422029317557485	0.13764451862815213	1.0331172877280421	0.3015490140088382	NA
C3orf38	118.10395048894478	7.327241944672055e-4	0.017380098669949953	0.04215880521634089	0.9663721020182856	0.998579267766214
C3orf49	181.64300351923265	-0.014927369334432323	0.019811490519918037	-0.7534702812705927	0.45116736331622387	0.998579267766214
C3orf52	3.7495390295290036	0.056079260962811156	0.06674083235335916	0.8402541440583129	0.4007659063037652	NA
C3orf56	0.11953997510501467	-0.11020146920352682	0.29358383041084296	-0.37536627630108316	0.7073880819509397	NA
C3orf58	1297.5918552792007	0.0041789403199784855	0.01971187923779714	0.2120011120992183	0.8321061667133779	0.998579267766214
C3orf62	85.13855040476102	0.029703901456022964	0.017377891724295474	1.709292584352732	0.08739676626608685	0.998579267766214
