Gene	granule	basket	astrocyte	oligo	opc
Oxsr1	2315.375	6240.25	6108.75	7207.625	6399
Uckl1	3267.625	7895.875	3058	8985.25	5853
Myd88	4999.25	4864.5	5495	4928.625	2022.875
Zfp512b	5022.75	4899	2197.75	4957.625	4831.875
Narf	3757.25	3977.5	4425.375	9366.875	7350
Acvr2b	2548.75	8551.125	4194.125	8011.625	5094.375
Mid1	2940.375	4537.5	6401.875	5910.5	5820.25
Exog	1759.375	7361.625	9184.5	5916.5	5327
Wdr45b	5954.375	4468.25	8224.625	1858.75	7032.75
Fem1b	1683.75	5811.625	5752.125	7418.625	8917.25
Scn5a	3571.5	3445.5	4211.5	3479.5	3376.25
Fn3krp	6758.125	6643.25	4056.125	4722.25	3161.5
Scn10a	3571.5	3445.5	4211.5	3479.5	3376.25
Galk1	4640.375	4498.75	3803.5	4539.875	4418.875
Itgb4	5079.375	4967.25	1950.125	5022.25	4891.5
Scn11a	3571.5	3445.5	4211.5	3479.5	3376.25
Tbcd	4164.375	6204.75	8717.375	2672.25	5741.5
B3gntl1	2880.125	4712.25	6360	5868.5	5779.875
Metrnl	4728.25	4590.5	3430.375	4639.25	4517
Ptchd3	3571.5	3445.5	4211.5	3479.5	3376.25
Calml4	3571.5	3445.5	4211.5	3479.5	3376.25
Cln6	4415.875	6261.625	5047.5	3703.125	6050.625
Pias1	1645.875	5675.25	4816.25	7852.25	8099.5
Ttc21a	7104.5	3511	3523	6927.875	5042.625
Rfx7	1361.5	8910	7545.75	4777.5	6210.875
Csrnp1	5166.25	5041	1592.875	5109.25	4996
Cx3cr1	5373.375	5261.5	719.125	5328.125	5229.5
Gorasp1	8882.75	6646	564.375	4298.125	7095.125
Wdr48	3641.125	6345.5	1527.25	7013.25	10035.375
Skor1	7917.75	480.875	6837.875	4398.875	7661.375
Nedd4	4916.5	4780.125	5417.125	4831.125	2359.25
Map2k5	4953.75	1452.125	5991.75	7743.375	8544.125
Slc25a38	5087.25	7501.125	1621.875	7405.125	4536.125
Prtg	6329.125	6194.625	1215.625	6269.125	5114
Rpsa	5724.875	3566.375	8516.375	1310.625	9452.75
Iqch	3571.5	3445.5	4211.5	3479.5	3376.25
2300009A05Rik	2397.125	4604.5	10789.625	8266.75	3290.875
Unk	5489.625	7694.375	3239.625	8753	3811.125
Eif1b	6056.375	9543.875	3022.25	3832.25	5538
Entpd3	5781.375	8262.875	2357	4036.75	5993.75
Gm29797	3571.5	3445.5	4211.5	3479.5	3376.25
Sox18	3571.5	3445.5	4211.5	3479.5	3376.25
Tcea2	7150	6468.875	1425.125	4063.25	8091.625
Pigb	3536.25	5392.5	2554.625	8947.25	8081.375
Rab27a	3571.5	3445.5	4211.5	3479.5	3376.25
Unc13d	3571.5	3445.5	4211.5	3479.5	3376.25
Rgs19	5061	4928	5564.125	5000.125	1766.625
Rsl24d1	3504.5	5990.75	6771.25	9571.25	1313.75
Aagab	9721.875	1713	3266.375	6166.25	7590.25
Wbp2	9776.125	4244.625	3324.75	3525.375	7052.875
Smad3	8668.25	8552.25	3312.25	6179.25	743.25
Unc13c	131.375	3046.875	6336.75	9027.125	8970.25
Smad6	3571.5	3445.5	4211.5	3479.5	3376.25
Trim47	6630.375	6506.25	658.625	4882.75	6484.125
Onecut1	6731.125	1960.5	6936.75	6506.125	3176
Trak1	6229.25	7863.75	3001	10173	1736.875
Fam214a	1161.375	3593.625	8011.25	9121.875	7613.5
Cck	3571.5	3445.5	4211.5	3479.5	3376.25
Zwilch	3571.5	3445.5	4211.5	3479.5	3376.25
Mrpl38	5888.75	5736.25	4374.875	5797.25	3392.75
Myo5a	6938.75	5213.5	11068.625	3711.625	1734.625
Myo5c	292.125	3554.25	9051.5	8791	5965.125
Nktr	5762.5	9999.375	4237.75	1525.25	7092
Fbf1	4574	4431.125	4078.25	4467	4353.875
Leo1	3530.125	7999.875	7977.875	6211.75	1735
Tmod3	5874.5	3949.875	1970.25	7528.875	8857.625
Rpl4	3197	7970.25	7992.125	1378.125	8379
Pcmtd2	6426	9837.75	5298.75	6050.125	342.375
Acox1	9138.75	5680.125	4236.75	5518.25	3590.125
Scg3	10269.125	6206	706	8482.75	2940.25
Snapc5	5057.5	6072.25	8332	3960.875	5652.875
Hmgcll1	1407.75	5808	4295.125	8045.25	7949.5
Gfral	4571	4428.75	4092.75	4464.25	4347.125
Evpl	3571.5	3445.5	4211.5	3479.5	3376.25
Hcrtr2	3571.5	3445.5	4211.5	3479.5	3376.25
Tipin	6377.5	6244.25	3618.5	6321.5	2374
Fam83b	3571.5	3445.5	4211.5	3479.5	3376.25
Dis3l	6256.375	8881.875	3476.875	5890.5	3545.375
Megf11	2927.75	8064.375	10842.625	6403.25	395.5
Lrrc1	5267.875	5143.375	5788.25	992.875	5118.5
Klhl31	3571.5	3445.5	4211.5	3479.5	3376.25
Gclc	9986.25	3896.375	6416.5	1258.25	7007.875
Rab11a	2734	6053.375	6064.5	9307.75	3880.125
Gcm1	4955.5	4822	5474.375	2279.625	4775.25
Rnf157	9735.875	3969.25	7577.625	6263	1073.75
Fbxo9	5270.25	2259.125	3766	7409	9926.875
Dennd4a	1450.375	9502	3530	6362	7766.75
Ick	3873.125	7295.375	9656	1773.875	5797
Slc24a1	3773.375	7858.75	2657.625	7696.375	5562.625
Ints14	4035.25	2955.625	7482.625	6042.5	8074.5
Ubald2	7807.625	4459.375	2786.625	4616.125	6938
Hacd3	5310.75	2006.625	7181.25	5717.25	9366.5
Dpp8	6172.125	4000.625	7739.25	2776.125	6962.625
Ddx43	3571.5	3445.5	4211.5	3479.5	3376.25
Mto1	4121.875	3934.125	9881.25	5595.25	3853.75
Igdcc4	5093.5	4962.75	5597.5	5036.25	1630.25
Slc17a5	3392	4809.5	2161.625	8424.375	9623.625
Igdcc3	3571.5	3445.5	4211.5	3479.5	3376.25
Cd109	3571.5	3445.5	4211.5	3479.5	3376.25
Ube2o	5823	1889.875	8299.375	7115.625	5637
Myoz1	3571.5	3445.5	4211.5	3479.5	3376.25
Ccdc152	8109.25	7971.5	4735.25	204.375	6173.125
9430020K01Rik	3571.5	3445.5	4211.5	3479.5	3376.25
Anks3	5802.75	2421.625	4974.25	7443	5830.5
Marf1	6906.875	10070.625	3544.5	2056.5	5894.375
Dsc3	3571.5	3445.5	4211.5	3479.5	3376.25
Cables1	8427.375	8306.875	461.75	6970.25	3061
Zdhhc14	7207.875	10937.125	2346.625	5158.375	2930.5
Fam35a	6158.875	3008.25	4545.125	5869.375	5751.125
B4galt6	2841.375	927.875	10587.5	8855	5430.875
Rbp3	3571.5	3445.5	4211.5	3479.5	3376.25
Arhgef37	5327.125	6557.75	6900.625	430	6382
Ttr	3571.5	3445.5	4211.5	3479.5	3376.25
Il17b	3571.5	3445.5	4211.5	3479.5	3376.25
Reep5	5036.125	6422	5097.125	3435	10085.75
Rbbp8	3486.75	4715.25	5201.125	4594.25	4496.125
Cdo1	3846.125	6218.625	7918.5	7599	2022.75
Ptx4	3571.5	3445.5	4211.5	3479.5	3376.25
Trim36	3571.5	3445.5	4211.5	3479.5	3376.25
Hars	5491.125	1117.375	5382.125	8234.375	8314.5
Mal2	227.5	5517.5	5995	5417.5	5343.875
Mc4r	3571.5	3445.5	4211.5	3479.5	3376.25
Eif3h	3171.875	7632.75	8071.5	5921.875	3620
Mc5r	4905.875	4757.25	5395.625	4816	2443.875
Caskin1	6775.75	5496.75	3782.375	6681.875	3297.25
