Gene	granule	purkinje	basket	astrocyte	oligo	opc
Tlr7	3553.4	2262	3588	3311.8	3424.2	3777.2
Syt17	3553.4	2262	3588	3311.8	3424.2	3777.2
Ncapd2	3946.7	4600.1	5880.700000000001	2596.3	5722.4	5888.4
Med24	5263.1	5583.3	8482.2	1740.5	8162.7	3913.9
Edem3	3356.3	4009.9	4264.6	9491.3	6391.4	6775
Psat1	7588.2	6588.2	6094.299999999999	7243	340.2	3622.9
Recql5	5813.700000000001	4632.6	5877.1	2299.1000000000004	5857.9	3632.4
Slc35a3	6221.1	8248.9	2770.1	9983.099999999999	2520.5	5194
Slc16a3	3553.4	2262	3588	3311.8	3424.2	3777.2
Nfat5	4278.700000000001	5377.1	5396.9	8957.4	7722	2567.7
Smim5	3553.4	2262	3588	3311.8	3424.2	3777.2
Sap30bp	5388.9	5865.5	7112.4	1948.8	3841.8999999999996	7175.8
Fadd	5453.1	4274.3	5528.2	2974.2	4456.700000000001	5696.8
Tyro3	2412	7212.4	8115.8	7827.6	371.2	5466
Csnk1d	8058.700000000001	9763.599999999999	5226.3	4733.5	3648.1	3445.8
Etv1	70.2	8625.3	9379.7	7173.8	5508.5	2509.3
Prps2	3553.4	2262	3588	3311.8	3424.2	3777.2
Zbtb46	2291.4	181.1	6627.4	6385.6	6480.6	6683.8
Paqr5	3553.4	2262	3588	3311.8	3424.2	3777.2
Abhd16b	3553.4	2262	3588	3311.8	3424.2	3777.2
Tchp	7392.8	6298.7	4237.7	1771.3	7375.2	3729.3999999999996
Myh7b	3553.4	2262	3588	3311.8	3424.2	3777.2
Trpc4ap	3887.3999999999996	9327.8	6141.7	8175.7	1523.9	5261.7
Fam103a1	4749.9	9113.4	2722.7	10620.4	4674.8	2449.3
Cmc1	3553.4	2262	3588	3311.8	3424.2	3777.2
Azi2	1877.7	7579.7	2851.5	10069.1	4640	7489.5
Msl3	4278.4	5906.3	4243	6591.9	5372.5	4742.299999999999
Ano1	3553.4	2262	3588	3311.8	3424.2	3777.2
Eomes	3553.4	2262	3588	3311.8	3424.2	3777.2
Tpd52l2	7216.7	9473.8	9068.8	1364.1	2566.4	4646.8
Zfp280d	6070.9	8124	3285	10690.7	1943.4	4403.7
Nr1d1	4660.5	10864.5	4764.3	373.9	5975	8682.6
Golga4	2022.3000000000002	8479.7	6733	4859.700000000001	7907.799999999999	4880.4
Anp32a	2868	3949.2	6895.299999999999	1311.2	8759.4	10521.1
Slc37a4	5451.799999999999	6747.299999999999	5608.700000000001	7323.3	3004.6	2734.7
Itga9	5165.4	4082.6	5203.6	4970.6	5081	51
Casc3	3287.5	9574.4	5124.3	7508.5	2113.2	6757.1
Msl1	2857.5	10234.400000000001	6725	8291.8	3079.7	3391.2
Uts2r	3553.4	2262	3588	3311.8	3424.2	3777.2
Hccs	8958.1	6353.299999999999	3429.3	9341.7	2484.8	3495
Vill	3553.4	2262	3588	3311.8	3424.2	3777.2
Edem2	8027.799999999999	7231.8	5938.4	5707.5	1868.6999999999998	3998.8
Plcd1	5650.3	4453.2	5714.1	3318.2	5691.8	3455.5
Coro2b	1547.5	2302.1	8088.8	2622.1	7980.9	8125.2
Ogt	9886.9	3284.6	1164.5	5031	7918.2	7019.4
Dnajc5	1701	6644.9	3317.6000000000004	8410.3	8858.900000000001	3578.9
Hexdc	4935	7462	5058.700000000001	7742.7	3377.5	5493.4
BC017643	6378.200000000001	8499.7	6882.700000000001	3172.3999999999996	4879.4	3402.1
Procr	4728.299999999999	1414.3000000000002	4812.2	4440	4609.9	4876.700000000001
Itga11	3553.4	2262	3588	3311.8	3424.2	3777.2
Ogfod3	3553.4	2262	3588	3311.8	3424.2	3777.2
Mns1	5889.299999999999	4751.2	5950.4	1171.5	5916.4	4573.5
