Gene	granule	basket	astrocyte	oligo	opc
Gfral	3384.25	3422.25	3139	3262.25	3596
Evpl	4757.5	4831.5	4475.625	4778.75	2589.75
Hcrtr2	3384.25	3422.25	3139	3262.25	3596
Tipin	6283.5	4549	5933.125	2418.25	6527.375
Fam83b	3384.25	3422.25	3139	3262.25	3596
Dis3l	1546.5	9393.875	7213.375	6194.75	4140.625
Megf11	3166.625	4673.25	9141.875	9300.125	1104.25
Lrrc1	9813.5	6314.5	2835.25	1113.5	8506
Klhl31	3384.25	3422.25	3139	3262.25	3596
Gclc	4472.875	959.25	7531.375	5957.875	9672.875
Rab11a	7503.5	4427.375	9678.125	7260.125	871.125
Gcm1	3384.25	3422.25	3139	3262.25	3596
Rnf157	8484	707.625	4134.375	8535.75	5491.25
Fbxo9	7862.5	5364.625	10481.875	2975.625	2990.5
Dennd4a	8245.5	5121	10307.375	3506	1431.5
Ick	10735.125	8190.5	6463.875	2694.25	537
Slc24a1	3384.25	3422.25	3139	3262.25	3596
Ints14	5426.5	8003.125	3454.875	9878.125	1777.875
Ubald2	6331.625	6223.75	4080.25	2203.875	6573.875
Hacd3	7080.75	3432.375	1959.25	9942	6183.5
Dpp8	2601.625	6105.25	8135.375	4256.75	6421.375
Ddx43	3384.25	3422.25	3139	3262.25	3596
Mto1	4146.75	5889	8796.25	7955.25	1626
Igdcc4	5290.75	5327	80	5218.25	5468
Slc17a5	2124.625	6291.625	6957.125	4528.5	7514.875
Igdcc3	5234.5	5270.5	288	5165.75	5424.25
Cd109	3384.25	3422.25	3139	3262.25	3596
Ube2o	4023	3412.375	5213	7583.375	7660.75
Myoz1	3384.25	3422.25	3139	3262.25	3596
Ccdc152	6542.625	6593.25	4944.5	201.5	6787.75
9430020K01Rik	4838.125	4910.875	4553.625	4872.125	2265.25
Anks3	3435.75	5743	1894.75	6742.375	10546.25
Marf1	5533.625	9443.25	3676.75	2266.25	7639.25
Dsc3	3384.25	3422.25	3139	3262.25	3596
Cables1	6945.625	7010.25	24.25	7016.375	3905.25
Zdhhc14	5336.5	9275.375	10505.5	911.75	2585.5
Fam35a	4546.75	4619	4284.375	4545.25	3433.25
B4galt6	4776.75	1809.875	7598	10865.5	3733.375
Rbp3	3384.25	3422.25	3139	3262.25	3596
Arhgef37	6224	671.875	2900.75	8713.5	8807.5
Ttr	5898.875	4695	5515.5	2978.875	6038.25
Il17b	3384.25	3422.25	3139	3262.25	3596
Reep5	8674.625	5460	10045.75	3120.625	1430
Rbbp8	3384.25	3422.25	3139	3262.25	3596
Cdo1	5273.75	5326	5067.5	5251.25	511.75
Ptx4	3384.25	3422.25	3139	3262.25	3596
Trim36	5278.125	5324.125	5099.125	453.75	5551.625
Hars	2965	3674.125	7304.875	5984.625	7929.75
Mal2	3384.25	3422.25	3139	3262.25	3596
Mc4r	3384.25	3422.25	3139	3262.25	3596
Eif3h	1754.375	3984.375	8757.125	5899.75	8124.375
Mc5r	3384.25	3422.25	3139	3262.25	3596
Caskin1	8524	5784.75	123.25	10870.25	3285.5
Slc6a7	5414.75	332.25	5093.75	5251.5	5507
Ctif	5974.75	7935.75	756.875	7865.75	4799.625
Grxcr2	3384.25	3422.25	3139	3262.25	3596
Msln	3384.25	3422.25	3139	3262.25	3596
Fam91a1	7558.75	1340	9771.375	4051.625	5979.125
Me2	4404.375	8064.125	8014.625	1641.625	5924.125
Syt4	176.75	2724.625	10883	8847.875	5973.5
Glp1r	3384.25	3422.25	3139	3262.25	3596
