Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FOXRED2	244.1598744624525	1.7204408155448405	0.3567671710821366	4.822306969350475	1.4190733346826661e-6	1.1923937718962996e-5
GABRG2	5471.800372099166	1.728508203526929	0.21925480357435714	7.883559107249981	3.1818554921045567e-15	5.819162988255913e-14
LOC101928283	252.21660764052947	1.7389762261809056	0.38234450345659	4.548192037441811	5.410875041715482e-6	4.196035369642293e-5
BLCAP	293.75679167872215	1.7452879076115515	0.35204126581185774	4.957623088834961	7.13608317049305e-7	6.219716621294723e-6
MAP3K9	3581.185298073725	1.745979218613385	0.28203212564674907	6.190710418572171	5.989365453232999e-10	7.307617186627935e-9
KIF13B	711.6082031279213	1.746569959297719	0.25245994041347153	6.9182063357744505	4.573977717587724e-12	6.78101015355486e-11
CARS	324.7732681888179	1.7560842276186126	0.351008588572952	5.002966550642212	5.645473956405268e-7	4.990922070504217e-6
FCHO1	212.27422653486366	1.7594932503238634	0.3737931890739644	4.707130310969104	2.512283225141489e-6	2.0406108956888685e-5
SCN1A	1102.0223403824164	1.760569770729339	0.26465411076085127	6.652342431666359	2.8846458011733447e-11	3.979845056307818e-10
CCDC148	2242.2763178152245	1.7725683744846676	0.280765413808359	6.313343051913662	2.730712499005349e-10	3.4459560135150653e-9
WDR1	164.02253873651088	1.7727671635198545	0.39457625364851295	4.492837942292971	7.028026646595811e-6	5.342600132924999e-5
DNAH9	511.4067474834474	1.7727974746192783	0.26859993982489216	6.600140996960069	4.107669284420574e-11	5.573865591353754e-10
CSMD3	5420.221161799935	1.772914698663964	0.30622759765533686	5.789532727417345	7.05825037854406e-9	7.748400367968958e-8
AHRR	196.4453352490204	1.7735008497113034	0.3692944937022685	4.802402635174761	1.5677305509393793e-6	1.3109379536878782e-5
ALS2CR12	512.2412892006134	1.7741607027133426	0.361334900735316	4.910017546334241	9.106824404255523e-7	7.862134182536168e-6
HSPA5	349.84487402084005	1.778019785022132	0.38461801376480903	4.622819840438824	3.785584831455857e-6	2.9988279839293856e-5
SHANK1	2589.34637297451	1.781890442033432	0.2525131961266548	7.056623057195304	1.705975679603781e-12	2.5935927269617764e-11
HCN1	14580.8033571774	1.783567470707599	0.21123557764630574	8.443499388602124	3.079759790167585e-17	6.328138257682825e-16
SESN3	2909.250850019172	1.786659382944028	0.33622252655564916	5.313919329698193	1.0729213105790265e-7	1.0434295443691815e-6
SLC48A1	292.0222517357872	1.7879318509313795	0.39822117097717263	4.4897960762459554	7.129139122124266e-6	5.409703331222453e-5
EOGT	193.40341339332358	1.7881811293012129	0.36904366319986165	4.845445966464933	1.2632759046747285e-6	1.0682275868415189e-5
NPIPB11	175.34842156900606	1.7894651452313355	0.3477128618052731	5.146387556504814	2.6555051583686713e-7	2.474038489226515e-6
LOC100130987	1552.6266371551174	1.792472046934553	0.23853984425523045	7.514350705354959	5.719407506920813e-14	9.560528432583283e-13
PLAGL1	994.4743098623628	1.7944072753100218	0.2677392939128494	6.702069199801921	2.0548867646714432e-11	2.8716959544087755e-10
ARID5B	723.9019333867915	1.8000776966837908	0.2706579377023398	6.650747847873775	2.9160749458109056e-11	4.0200010069700776e-10
PRKCA	830.2632280326462	1.8028522199075272	0.264062281804072	6.827374994983953	8.64824258723938e-12	1.2510304766039173e-10
TMEM164	1900.3375565209165	1.8085633535802312	0.2325095544875512	7.778447460218516	7.34199816616495e-15	1.3176754177678402e-13
KIAA1211	1786.4086348808353	1.8100885048887394	0.26023579255124224	6.955570896468134	3.5113713911276593e-12	5.255117156895832e-11
ABAT	2405.286318194463	1.8102706571941296	0.2215307330328945	8.17164567827854	3.042108733726056e-16	5.867505373711761e-15
KCNA6	112.86792917243383	1.8123490462003704	0.4084297740617512	4.43735780615827	9.106984257446144e-6	6.759327955301404e-5
DPY19L2	4166.535255063988	1.8132555236298407	0.22429549519398564	8.084226221581565	6.25601133705058e-16	1.1854901658522684e-14
DIRC3	1661.327423904951	1.8147864549219737	0.2571139241351169	7.058297060443441	1.685554304864276e-12	2.5670576609557077e-11
SH3D21	202.64762763608965	1.8152114599210527	0.3813420618776018	4.760060956778682	1.9353449854329977e-6	1.6005451048267827e-5
TMEM41A	129.00560435061567	1.8163449024618927	0.4031685001331731	4.5051756321784175	6.6318068907022725e-6	5.06341090097264e-5
DCLK2	2669.4592035888136	1.8238014838424506	0.22559613415620663	8.084364967795144	6.24889392815886e-16	1.1854398448582944e-14
TMEM91	174.97544532072	1.825173921586781	0.35828975173817024	5.094128181820214	3.5034967828989105e-7	3.2053938572677974e-6
HLA-DPB1	324.73118895258153	1.8276088745535823	0.36536042657335777	5.0022080707928875	5.667736952372676e-7	5.005488362072469e-6
PGAP2	188.54333656923657	1.828706644443939	0.3502145765100319	5.221674844797774	1.773121049859865e-7	1.6818403116022768e-6
FAM171A1	3657.0767439859906	1.8320558168416785	0.21826523495121516	8.393713351790378	4.710237243981021e-17	9.587272300954782e-16
