Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	rpkm	General
Zfp618	1297.4869354337454	-5.132734584683899	0.310619957635258	-10.085425960821478	6.4086614520740914e-24	6.298348427079373e-22	5.7299654539511	FALSE
Epha4	1169.861086067927	-5.115884249944828	0.378592217010193	-8.230185698352424	1.869234391317239e-16	1.0621857986679478e-14	5.7563952034432555	FALSE
Sh3pxd2b	958.272781130031	-5.064022055984579	0.29557416187684854	-10.36633931913578	3.527812670219827e-25	3.710392448766292e-23	5.802392650697978	FALSE
Ppp1r16b	849.2381183557229	-5.008784691366003	0.28660773760987074	-10.497918571415362	8.830575413300798e-26	9.538612541033924e-24	5.683471371581493	FALSE
Cdk15	735.8271394767869	-4.948319230212942	0.268310648431332	-10.988454045525877	4.343011577993634e-28	5.25986957779229e-26	5.870812819554297	FALSE
Slc25a13	1063.2785154485684	-4.93695217862866	0.2962321907674377	-9.91435863543394	3.605647108764681e-23	3.2505044236156785e-21	5.191633067133671	FALSE
Ddah1	1220.0412852444445	-4.907850051321503	0.38754574597212144	-7.5032433758947334	6.225780393505103e-14	2.950478534313288e-12	5.872623825119179	FALSE
Kank1	1009.4443753275617	-4.901176018992142	0.2540216424144676	-11.420979690614374	3.2850968496200486e-30	4.6339189678758095e-28	4.88864864558915	FALSE
Zcwpw1	699.1951294482592	-4.885677539013008	0.3477324762279615	-8.298556322134424	1.0538413975149436e-16	6.0747876712520065e-15	7.465625902658996	FALSE
Rapgef5	2201.999350621634	-4.865693239218992	0.30912254815847623	-9.270411544840956	1.8542905981376914e-20	1.3809282156317341e-18	6.0244376177145575	FALSE
Prkd3	647.9329904058791	-4.865589667375241	0.3110221810945739	-9.213457565278564	3.157855673906104e-20	2.2537315196508443e-18	6.048096290295755	FALSE
Fnbp1l	491.6066187663232	-4.855647719207959	0.45201575225062024	-6.317584519985146	2.656831419889035e-10	8.848724645685981e-9	4.952639990255546	FALSE
Dkk3	459.63108767190755	-4.760408997533262	0.3916259433714486	-7.0485856319152855	1.8074550694606063e-12	7.551005673460861e-11	6.1564910438082885	FALSE
Col13a1	985.678436984347	-4.711642343574071	0.2721793789703553	-9.962703103490481	2.2194463280082054e-23	2.078996990063936e-21	5.45278916039565	FALSE
Itga9	1044.5061072191224	-4.700578791152823	0.35813684381800004	-7.5406338045610815	4.676927425655477e-14	2.2520626439200467e-12	4.308585129004184	FALSE
Agbl3	976.7906187247393	-4.666246565523285	0.3207263091053128	-8.313152023483687	9.319300857711563e-17	5.397991173138243e-15	5.465668757034778	FALSE
Lrfn2	938.0336765811682	-4.625984752693901	0.2591206121725756	-10.134217925299522	3.894776421501524e-24	3.8593693631242376e-22	5.0699398301002	FALSE
Efna5	1965.5335794876119	-4.623349921360196	0.35855151984563094	-7.31652154895241	2.544811738986453e-13	1.1300849166832432e-11	5.40192142713144	FALSE
Epb41l5	2820.2044299793097	-4.617161282705363	0.23113501035342543	-11.323084627912912	1.0085937547422893e-29	1.3587684403775335e-27	6.89034495764977	FALSE
Zdhhc15	417.05146257121515	-4.568525107247758	0.41934938045032416	-6.125024208905501	9.066981957258468e-10	2.8608714123033954e-8	4.229300706979685	FALSE
Tmc2	662.4170323994293	-4.45486117045093	0.42780053646428917	-5.738331210942393	9.561398906341953e-9	2.7038012473358494e-7	5.397997448606028	FALSE
Cep112	3083.5983184442694	-4.393167335498719	0.2521099515256601	-9.492554026591602	2.2544171227660615e-21	1.7666968171219004e-19	5.245697823903466	FALSE
Sfmbt2	1573.3005328350177	-4.3765892227155	0.3010713336353855	-7.893774521866917	2.9318164617355983e-15	1.5350427675200796e-13	5.431700567170399	FALSE
Antxr1	625.1016628908552	-4.2315525194190515	0.29275947114188705	-7.6224776288707	2.4885225975660028e-14	1.227875964807258e-12	4.1898225880715945	FALSE
Cdh10	3557.9003993977726	-4.229088669127197	0.25835881765862395	-8.62787920044033	6.250003839906079e-18	3.9234317298677427e-16	7.259091617123772	FALSE
Gk5	426.104700716698	-4.1911619554208	0.3265354531312836	-6.710334006334814	1.9417942528641595e-11	7.321419211270841e-10	5.425126258195515	FALSE
Gatm	483.94166941651025	-4.136803465537778	0.3134129382747286	-6.817853395907728	9.241087236813303e-12	3.668895230774553e-10	7.549679970796779	FALSE
Me1	526.4012582239119	-4.116781841159589	0.31925494452487674	-6.630380758267775	3.3482205810493604e-11	1.2276808797180987e-9	4.031373413093104	FALSE
Lima1	2850.510231703461	-4.089191181326986	0.21021081882243317	-9.938552130809894	2.829091010066233e-23	2.62951947369722e-21	7.49490946918119	FALSE
Gpsm2	881.1349095626704	-4.088335117891472	0.2793593969142512	-7.475442533735432	7.69444777148553e-14	3.6037667492231056e-12	6.644750723556906	FALSE
Runx2	553.558985045389	-4.081624877739754	0.3067679603874981	-6.785665866508099	1.1555230720272768e-11	4.4982862446776135e-10	4.068212471352972	FALSE
Rai14	426.3079185292751	-4.03414431650908	0.42870155628027257	-4.744896039470441	2.086134480030599e-6	4.631991188067941e-5	4.162070699861417	FALSE
Ankrd6	661.6372094342447	-4.01168360412871	0.3187036666488252	-6.312081769505822	2.753066876203738e-10	9.143842616532637e-9	5.986820087573038	FALSE
Mob3b	1335.2681367119606	-3.988508955233402	0.4179080605397282	-4.7582450375933005	1.952833517092553e-6	4.3440582318997605e-5	5.408148858826738	FALSE
Acmsd	423.9219521964671	-3.973383514295413	0.3575317146505242	-5.519464241722814	3.4003477626220835e-8	9.265947653145177e-7	5.47103426851306	FALSE
Vipr1	514.981588803608	-3.9002463161118635	0.37132555471148004	-5.117467117468807	3.0966602792134885e-7	7.655454999540151e-6	6.616797718769156	FALSE
Slc16a9	848.5993521705485	-3.8878837081074216	0.3457491736605988	-5.4602696171897245	4.75412044209995e-8	1.2723639308209466e-6	6.585761703863569	FALSE
Crtac1	417.9613495509612	-3.8414773696830427	0.28904578045715007	-6.370884801606833	1.879407717507307e-10	6.401732537759265e-9	4.090302873941306	FALSE
Ell2	633.7063787746489	-3.8248800324946073	0.35909085900688675	-5.0819451030904945	3.7358939359012316e-7	9.141503732950156e-6	5.7814886638539	FALSE
Rnls	2789.967926445172	-3.7825674079076044	0.24499677978943898	-7.2758809705157	3.441669549184219e-13	1.511561095044644e-11	5.95544409557394	FALSE
Ctdspl	3154.658095855366	-3.7805848651562237	0.2613845455127413	-6.8121275558329755	9.616577869601345e-12	3.7928542321223727e-10	7.425050792624614	FALSE
Rnf43	637.2360859798649	-3.779958886128089	0.32867423889553077	-5.415571637465172	6.109320512095267e-8	1.624185209313132e-6	6.06390808056691	FALSE
Pam	1829.002991788916	-3.765592793213245	0.26288928929101724	-6.716107750052692	1.8664280230539766e-11	7.059454888459679e-10	6.200967742668938	FALSE
Tubb4a	6015.840115775983	-3.748645764316029	0.33428492876042987	-5.231003894791862	1.6859195698302888e-7	4.291757036574345e-6	12.18210392396141	FALSE
Slc36a1	1721.7210845243217	-3.671603856189362	0.3108223130708471	-5.37800468593883	7.531585679250757e-8	1.980344567855627e-6	7.958990764431361	FALSE
Glra2	1349.0290864144258	-3.666145835375261	0.25762580602402047	-6.467309549028304	9.976315415364065e-11	3.5078012266925263e-9	5.464640781714419	FALSE
Cflar	1654.8969839512906	-3.6494039946824306	0.2673505872163413	-6.1694421989345605	6.853132224627255e-10	2.1853472173744892e-8	7.483468624441036	FALSE
Ptprb	1867.0606570409425	-3.619869039292161	0.22804772452720415	-7.103201940078663	1.2189908234827307e-12	5.201316716568663e-11	6.665650092383736	FALSE
Shroom3	2685.4296146103484	-3.5975432647431362	0.2364704181161129	-6.755784835457526	1.4206411507627461e-11	5.407456316712802e-10	5.6712702674172295	FALSE
Slc35f4	8411.09120465395	-3.570465236693332	0.2406945879799747	-6.524721847189982	6.812784429063853e-11	2.4167244172921773e-9	7.498856306802445	FALSE
Slc1a4	662.2662278929442	-3.505744044316397	0.26172175668181147	-5.75322458249815	8.755704296072319e-9	2.4995451073787405e-7	6.9756727129191045	FALSE
Khdrbs3	539.4074029685547	-3.493095707505473	0.3175174297435691	-4.7024054985306325	2.5711423108775806e-06	5.6565130839306774e-5	4.183894781076775	FALSE
Cdk14	6351.029116213504	-3.462933165810833	0.26858822225257345	-5.446750991319077	5.129819836991805e-8	1.3698561212813307e-6	6.0805955838700445	FALSE
Tpm4	1554.4930480697972	-3.45959006405684	0.2308639723494739	-6.322294679428643	2.5770732594045323e-10	8.631035860407916e-9	8.21093225520179	FALSE
Dpy19l1	1882.5363702923346	-3.4515642043599906	0.231977431199126	-6.257350970982989	3.9157153339648664e-10	1.274041083484801e-8	6.812417746838927	FALSE
Mettl24	480.63478322415483	-3.4453297454805303	0.28403933733075326	-5.088484429878449	3.609364091582103e-7	8.868089233210946e-6	4.804313933465684	FALSE
Nin	1343.274416097572	-3.4414560550477784	0.2779668219751147	-5.18571261420842	2.1519042897251717e-7	5.431859459748381e-6	6.380417169732422	FALSE
Wdsub1	766.6346289855434	-3.41640819920315	0.26831462277586965	-5.278907964648329	1.2995605432740845e-7	3.336559082196204e-6	6.602906223256774	FALSE
Chd1l	690.4723848591452	-3.4015553779251237	0.28707973233954975	-4.8821119014678604	1.0495566448719052e-6	2.4015618648881953e-5	6.403304277124515	FALSE
Trpm2	846.0292079925964	-3.3841207038292587	0.28653221346441465	-4.830593695187285	1.3612653720805682e-6	3.085363291350853e-5	5.930798938083703	FALSE
Tgfbr1	674.6667486825824	-3.332135631926284	0.2623896161734879	-5.076937309308371	3.8356735788931364e-7	9.366543016482424e-6	6.4883320996981215	FALSE
Flt3	927.4687618609003	-3.2936815596579176	0.23853991248583703	-5.423333756503864	5.849761985331391e-8	1.558636582313853e-6	5.939240130880465	FALSE
BC003331	1016.2906858160248	-3.173749168657693	0.24061526490153587	-4.878115979624204	1.0710394456288506e-6	2.446050086302842e-5	7.145085960548048	FALSE
Them4	570.153098592308	-3.144114101681811	0.24798445224932877	-4.613652554844425	3.9565361501578905e-6	8.48638075856764e-5	6.64324958470019	FALSE
Pde4d	40808.14854961059	3.187361617766769	0.19005457678463708	6.24747710817953	4.1713539513317166e-10	1.346977703066434e-8	7.619802723781762	FALSE
Pcdh9	57878.70590197662	3.3663060736221175	0.21765121903673684	6.277502509147453	3.4405471343579777e-10	1.1240370610613666e-8	8.692336666426547	FALSE
Nxn	3858.027392250575	3.4744361242010084	0.2307327579992033	6.390233172725737	1.6563299010400326e-10	5.657947439735041e-9	7.4211461043065725	FALSE
Has1	482.4291944670264	3.492763999831545	0.286983519829358	5.201566977501534	1.9761522917836894e-7	5.0093162745214445e-6	8.005902478016038	FALSE
Rasa3	2028.346069125476	3.517983662007923	0.25440093625073035	5.966894950857575	2.4181097777946867e-9	7.34003449006539e-8	6.848941417026628	FALSE
St3gal5	4333.614985704501	3.51812634927106	0.224483623221059	6.76274878090369	1.353979004837875e-11	5.186648008947643e-10	8.905317543300093	FALSE
Gramd4	620.838458815223	3.5448437329173865	0.3245983492240954	4.759247040566004	1.9431648626899165e-6	4.3305848891546656e-5	5.595666699581429	FALSE
Hcfc2	930.6244200312572	3.5965962039655817	0.26090128123064504	6.119541446613824	9.384501955275482e-10	2.953285523458085e-8	7.086587508185272	FALSE
Tecpr1	742.0897445503202	3.6142358558448064	0.3435390826944849	4.698841957613229	2.6164081815290347e-6	5.7455556953357373e-5	7.286261520485537	FALSE
Mmd2	642.7691664950535	3.6471593395077657	0.28437746858689744	5.792158386150209	6.948756405296287e-9	2.0320875438903044e-7	6.457648318093026	FALSE
Syn3	2466.1650863884097	3.648972706962046	0.22580296212548975	7.302706268510469	2.8203645455602973e-13	1.2478291845486333e-11	5.144530849688968	FALSE
Tmtc4	3771.591126617112	3.6791444487686036	0.23828185000135702	7.046883548868875	1.8296931694249847e-12	7.617368437988044e-11	8.53461297103139	FALSE
Plec	685.6274002712181	3.686058825180658	0.35885634052926935	4.698422835984804	2.6217820715282812e-6	5.746831268304222e-5	6.1392106633686225	FALSE
Ltbp2	728.9090394439925	3.692525178323141	0.36412625143405325	4.64818224903423	3.348729810864734e-6	7.234463140949218e-5	5.575208823563376	FALSE
Tango2	993.2666278940713	3.7516968076569186	0.25881430050268284	6.768160817445869	1.304297364650624e-11	5.028464759537293e-10	7.197921958689424	FALSE
Timp3	635.0907919936607	3.784324929449499	0.3083109573350998	5.7874197688995395	7.147580702132157e-9	2.0800847722952565e-7	6.349132250259978	FALSE
Gpsm1	563.7954674280062	3.8727273041830284	0.30631136276059945	6.113802920352897	9.72844382806645e-10	3.046642155657578e-8	6.774265779188536	FALSE
Dpysl4	474.08404577173064	3.929009528267892	0.3061285917109154	6.301304682084391	2.951505497002911e-10	9.775842792559365e-9	7.5091559347961745	FALSE
Kcnip3	1918.3038581153464	3.9357600017449452	0.32107770524680956	6.028945548420884	1.650328748616831e-9	5.0607267764490546e-8	7.539402709605759	FALSE
Kcnq3	3142.732727561245	3.9529314117016088	0.2881302934810216	6.777945449981792	1.2189685379479625e-11	4.729913517798081e-10	6.037134029851215	FALSE
Cdc14b	1271.1040642570874	3.9849158220310112	0.28048441709855626	7.0767418830742175	1.4758304863080207e-12	6.274896287529492e-11	6.622013043682718	FALSE
Lgr5	419.63436431525565	4.026671770213089	0.3464682777571132	5.849516103849079	4.930051527823156e-9	1.4523665311695244e-7	4.303277778124349	FALSE
Mpp6	1239.2799602047178	4.041916574962127	0.41187819537055786	4.957573860216269	7.137891010632324e-7	1.6715490862789368e-5	6.49322708036283	FALSE
Rasgef1b	772.5817497995225	4.05259469530948	0.3587006842051866	5.722304934705226	1.050884703968625e-8	2.9577717372262475e-7	6.677181940095138	FALSE
Brinp2	546.9729966987771	4.05536001089151	0.38475787688619917	5.341956940622763	9.194849923128054e-8	2.4018790975665656e-6	4.925736529003954	FALSE
Dgkz	756.6070006583878	4.147271230333475	0.46427769925764745	4.624971722240449	3.7464951021419177e-6	8.050264565355124e-5	7.090878780282748	FALSE
