Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NXF2B	0	NA	NA	NA	NA	NA
NXF3	5.325544897746675	-0.035403595839393544	0.02988601465820702	-1.1846208416976514	0.23616739281095975	0.9998737737122831
NXF4	3.176676844296092	0.03920550411080059	0.05388649218473913	0.7275571765998855	0.4668847028560091	0.9998737737122831
NXF5	68.58090382482871	-0.010121334004349456	0.02217353909446733	-0.4564600157525101	0.6480592170819455	0.9998737737122831
NXN	407.6590610647986	-0.006097995240442492	0.01755219770839516	-0.34742061032766514	0.7282753517136271	0.9998737737122831
NXNL1	4.638019462227361	-0.04147593139807136	0.03680161177629286	-1.127013991946669	0.2597365652353623	0.9998737737122831
NXNL2	58.00784184306508	0.029032536561158666	0.04864227598852347	0.596858102774807	0.5506021218610675	0.9998737737122831
NXPE1	118.95909872024467	-0.031300473469151595	0.023311654544430606	-1.3426963499950113	0.1793703170828706	0.9998737737122831
NXPE2	11.060401718876419	-0.058586237647336226	0.048285838425624325	-1.2133213289353528	0.22500699133788252	0.9998737737122831
NXPE3	1127.9699991820962	-0.005733616041068426	0.01929162644482056	-0.2972074986765978	0.7663080972859273	0.9998737737122831
NXPE4	54.840033288126826	-0.026895864881861978	0.03451455939174144	-0.7792614292592579	0.43582573054448814	0.9998737737122831
NXPH1	5120.090226193872	-0.013087101571979055	0.04363561390054035	-0.2999178973809967	0.7642397822703034	0.9998737737122831
NXPH2	32.09333306625763	0.08851565741245183	0.04663735097657004	1.8979563709980198	0.057701829557887566	0.8213016806490304
NXPH3	122.09609529822725	-0.029780546885226303	0.04736901374412866	-0.6286925678058385	0.529550344748454	0.9998737737122831
NXPH4	27.615045932568528	0.029725471823321827	0.06375922816836262	0.46621442381373795	0.6410620259397908	0.9998737737122831
NXT1	15.983338653891531	0.08095267619593721	0.0280841760847965	2.8825013755614974	0.003945314133575712	0.3045701134288891
NXT2	11.284685603855905	-0.05017340899563253	0.039299596006488816	-1.2766901977147125	0.20171164347193202	0.9998737737122831
NYAP1	61.023004301585125	0.0077313925897352555	0.021194493762291614	0.3647830741534689	0.7152733406440951	0.9998737737122831
NYAP2	2380.307705182993	0.010705147349658743	0.05114101107483115	0.2093260794940998	0.8341936942236615	0.9998737737122831
NYNRIN	387.97295421900697	-0.021598460537900765	0.029476411003081585	-0.7327371210709056	0.4637187786150145	0.9998737737122831
NYX	4.243544104297801	0.008471242672127378	0.026305194453767253	0.3220368770516419	0.747424757565288	0.9998737737122831
OACYLP	10.138422041188566	0.031392721910590365	0.03932760718096195	0.7982362559242412	0.4247334014319828	0.9998737737122831
OAF	39.431001771883516	0.0023202786688407808	0.07630868761355294	0.03040648111511596	0.9757428760646948	0.9998737737122831
OARD1	123.69663565430125	-0.01776508305595276	0.016509693300008562	-1.0760395564673237	0.2819095658868847	0.9998737737122831
OAS1	33.88088373360282	0.011665290106457884	0.036823426344809285	0.31678991512701127	0.7514030169637244	0.9998737737122831
OAS2	47.967595308489145	-0.03771924418757978	0.02566623036089031	-1.4696059240961077	0.14166851489050614	0.9998737737122831
OAS3	90.33491733754589	0.012392153081133402	0.028075026278368	0.4413941756728342	0.658927658010146	0.9998737737122831
OASL	4.194468375803422	-0.003041094427666988	0.04050516646352867	-0.07507917367541805	0.9401517180481662	0.9998737737122831
OAT	350.9332193016297	0.03262331452890237	0.022992753874077423	1.4188519873507917	0.1559421724709512	0.9998737737122831
OAZ1	207.38154721732795	-0.01787805123808743	0.014651383539241948	-1.2202295564922756	0.22237786535588833	0.9998737737122831
OAZ2	680.8423943714045	-0.002000629468068887	0.009705670699884577	-0.20612995535616915	0.8366894001966417	0.9998737737122831
OAZ3	132.21114714854588	0.01592986080027679	0.0255861953127877	0.6225959196174516	0.5335500932633161	0.9998737737122831
OBFC1	335.23622091895044	-0.015726484177207734	0.01884526246504314	-0.8345059776365249	0.4039959203103593	0.9998737737122831
OBP2A	0.022996109963619882	-0.003321618853370302	0.2850605991906813	-0.011652325375028142	0.9907029998722685	NA
OBP2B	0.03988108812244954	-0.01657314188310732	0.2850525521124341	-0.058140654276865864	0.9536365917150282	NA
OBSCN	1054.554474793004	0.013786013292975935	0.036937130203631756	0.3732291387277417	0.7089779109265	0.9998737737122831
OBSL1	360.3692207865597	0.016676387742868642	0.014086654211160109	1.18384305406296	0.23647519567557487	0.9998737737122831
OC90	5.3598592676494325	-0.07812623858482769	0.04741663476228035	-1.6476546464443875	0.0994235598030594	0.9525032848357634
OCA2	27.71399578514062	-0.0023930985895862125	0.020459670710893805	-0.11696662294334977	0.9068865029179382	0.9998737737122831
OCEL1	13.070032899222623	0.008869631473627385	0.025087977431887596	0.3535411133762345	0.7236828121560241	0.9998737737122831
OCIAD1	1144.6555317510322	-0.00948730098806305	0.0093247169656353	-1.0174358131219348	0.3089461524156577	0.9998737737122831
OCIAD2	94.8554094225474	-0.027116639700379468	0.025390791118008956	-1.067971437926029	0.2855333958657515	0.9998737737122831
OCLM	0	NA	NA	NA	NA	NA
OCLN	69.58888811807692	0.008457414373466064	0.03897187205609296	0.21701329516049794	0.8281979837937908	0.9998737737122831
OCM	8.635601596276537	0.03510931805281158	0.028412365871588387	1.2357055449549863	0.2165680356823349	0.9998737737122831
OCM2	0.9722270782837009	0.042449561546341774	0.0465483622736024	0.9119453289641286	0.36179749798965166	0.9998737737122831
OCRL	766.964998398733	-0.006224602094940091	0.007388111717758154	-0.8425159679135011	0.3994992055579777	0.9998737737122831
OCSTAMP	2.496177032525134	0.008653103942410733	0.06999789664802415	0.1236194851099856	0.9016165639392044	0.9998737737122831
ODAM	0.05836506557894846	-0.0060527366953448195	0.28505589978316404	-0.02123350788371336	0.983059384876996	NA
ODC1	60.789761511867546	-0.0014341760756400974	0.024424834545167064	-0.0587179443524164	0.9531767664711083	0.9998737737122831
