Gene	Granule	Purkinje	Basket	Astrocyte	Oligo	OPC
Tcf21	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Tbpl1	9209.7	28100.8	2123.9	14458.8	18364.2	24335.5
Slc2a12	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000714.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000714.2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Sgk1	26328.1	30137	863.4000000000001	13539.4	6441.2	19047.9
AABR07000720.2	21030.1	24577.9	318.20000000000005	6331.6	25530.6	13534.6
AABR07000720.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
1700020N01Rik	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000723.3	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000723.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000725.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000733.1	10022.2	7812.6	10017.6	10240	2491.4	10074.099999999999
LOC501467	14617.2	12491.7	14694.5	9688.5	1890.5	14595.2
AABR07000740.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
RGD1562660	10263.400000000001	8203	10264.2	10480.6	1099.2	10349.4
Clvs2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
b	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Rn60_1_0253.2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Rn60_1_0254.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Trdn	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000900.3	14608.5	12478.6	8608.3	14774.8	3655.1	14437.099999999999
Nkain2	15366.8	13467.1	7906.299999999999	15626.6	1460.8000000000002	15275.1
AABR07000900.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000900.2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000902.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Rnf217	8631.099999999999	17910	13787	3158	19462.199999999997	19627.5
Tpd52l1	1985.8	8024.1	10259.400000000001	10419.7	9829.1	10202.2
Hddc2	2046.8000000000002	12854.900000000001	14994.400000000001	15151.8	14605.5	8976
5S_rRNA	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Hey2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Ncoa7	14471.5	1196.8	7409.1	24966.4	19411.4	24526.4
Hint3	9983.400000000001	7764.6	9983.3	10201.8	2686.4	10033.099999999999
Trmt11	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Cenpw	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000968.3	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000968.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000968.2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000968.4	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000978.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Rspo3	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Rnf146	14324.7	6855.9	14150.3	29780.9	19346.6	3305.6000000000004
Echdc1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000986.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Soga3	25119.3	1128.1	13521.8	18753.1	8425.8	29412.4
Gm9996	15000.3	1484.9	14990.9	15088.8	7176.8	14922.4
AABR07000990.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Mrpl36	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
LOC679739	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
RGD1311933	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AC094217.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AC094217.2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Rpl26-ps2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Lrrc14b	9639.7	7387.299999999999	9618.4	9806.5	4551	9644.6
Ccdc127	24844.1	23131.4	7694.7	19490.7	14111.3	2146.6
Sdha	19419.8	28391.4	1429.3	8421.3	19263.1	19844.2
Pdcd6	18698.8	1488.7	13704.3	19143.3	29345.9	13959.3
Ahrr	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Exoc3	29726.3	6764.4	3174.8	14102.7	18619.6	24076.3
Slc9a3	10283.4	88.4	10204.8	10357.4	9930	10295.4
Cep72	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Tppp	14813.4	22685.800000000003	9510.900000000001	24410.4	432.29999999999995	19768.3
Zdhhc11	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07001001.2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Brd9	13461.1	29199.300000000003	24161.300000000003	13877.8	3358.5	8145.200000000001
Trip13	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07001001.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Nkd2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Slc12a7	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AC142421.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Slc6a19	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Slc6a18	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AC142421.2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Tert	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Clptm1l	4180.6	7557.9	9841.5	9966.9	9407	9777.5
Slc6a3	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Lpcat1	8302.9	23057.9	14033.5	20187.3	24462.2	1294.9
AABR07001003.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
LOC100910528	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
LOC100912599	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Irx4	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07001006.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07001010.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Irx2	10159	7982.9	10141.1	10386.900000000001	9862.7	1666.5
AABR07001018.5	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07001018.3	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07001018.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07001018.4	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Irx1	14935.8	12836.099999999999	15013.3	7971.799999999999	14655.900000000001	2844
AABR07001018.2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07001019.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07001025.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07001035.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Adamts16	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07001037.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Ice1	13556.4	28348.4	2950.5	23912.4	8897.2	18886.699999999997
AABR07001048.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07001053.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
LOC679881	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07001054.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07001054.2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Med10	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07001057.1	2006.2	8020.8	10263.099999999999	10415.8	9831.3	10200.2
Ube2ql1	15226.4	6541.799999999999	2330.6	19928.1	19386.1	19510.6
Nsun2	3769.6	17355	14303.8	19455.7	8888	19067.8
Srd5a1	10206.3	8108.6	10211.8	10429.900000000001	1417.6	10291.1
AABR07001060.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Papd7	8672.400000000001	28213.3	18377.699999999997	8289.900000000001	24786.8	3327.3
AABR07001061.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07001064.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07001068.1	14991.7	12914.900000000001	15073.8	2909.8	14723.4	7517.3
Adcy2	14054.8	11847.6	14102.7	5032.4	13713.7	9589.6
AABR07001099.2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
RGD1308544	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Fastkd3	29895.9	22283.1	13751	8209	8197.400000000001	13640.3
Mtrr	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
LOC680200	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07001099.3	10196.9	8004.1	2339.5	10448	9764.1	10112.3
Zfp874b	25011.3	28688.9	12536.8	7752.7	7206.4	19445.699999999997
AABR07001099.4	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07001099.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
